"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
10/31/2020 08:23:38
http://10.37.248.147/njta/202010/20201031/012_14w/013012_14wW2020103108233857DV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44107 - Image
10/31/2020 08:04:42
http://10.37.248.147/njta/202010/20201031/18E_11w/01318E_11wW2020103108044243DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36648 - Image
10/31/2020 12:21:08
http://10.37.248.147/njta/202010/20201031/012_13w/013012_13wW2020103112210801DV_02.jpg
 13w - 12 
OPEN
$6.25
$50.00
$0.00
$56.25","
 HV39564 - Image
10/31/2020 11:55:53
http://10.37.248.147/njta/202010/20201031/004_06w/013004_06wW2020103111555317DV_02.jpg
 06w - 4  
OPEN
$5.45
$50.00
$0.00
$55.45","
 HV20942 - Image
10/31/2020 11:53:45
http://10.37.248.147/njta/202010/20201031/18E_15w/01318E_15wW2020103111534502DV_02.jpg
 15w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV37207 - Image
10/31/2020 10:00:57
http://10.37.248.147/njta/202010/20201031/006_07w/013006_07wW2020103110005753DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV17808 - Image
10/31/2020 09:19:58
http://10.37.248.147/njta/202010/20201031/006_07w/013006_07wW2020103109195872DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV42978 - Image
10/31/2020 07:57:20
http://10.37.248.147/njta/202010/20201031/18W_09w/01318W_09wW2020103107572035DV_02.jpg
 09w - 18W
OPEN
$68.75
$50.00
$0.00
$118.75","
 HV37938 - Image
10/31/2020 07:37:31
http://10.37.248.147/njta/202010/20201031/012_14w/013012_14wW2020103107373143DV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44534 - Image
10/31/2020 07:04:45
http://10.37.248.147/njta/202010/20201031/013_08w/013013_08wW2020103107044590DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV39512 - Image
10/31/2020 05:56:52
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103105565276DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV43288 - Image
10/31/2020 04:23:12
http://10.37.248.147/njta/202010/20201031/13A_13w/01313A_13wW2020103104231208DV_02.jpg
 13w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20179 - Image
10/31/2020 07:49:43
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103107494328DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44291 - Image
10/31/2020 07:24:39
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103107243942DV_02.jpg
 10w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV44222 - Image
10/31/2020 06:31:26
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103106312674DV_02.jpg
 10w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90","
 HV39984 - Image
10/31/2020 06:09:43
http://10.37.248.147/njta/202010/20201031/010_04w/013010_04wW2020103106094306DV_02.jpg
 04w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV17408 - Image
10/31/2020 05:59:05
http://10.37.248.147/njta/202010/20201031/001_16w/013001_16wW2020103105590516DV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15144 - Image
10/31/2020 05:45:20
http://10.37.248.147/njta/202010/20201031/18W_08w/01318W_08wW2020103105452078DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV39284 - Image
10/31/2020 05:45:11
http://10.37.248.147/njta/202010/20201031/06A_01s/01306A_01sS2020103105451133DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV14974 - Image
10/31/2020 05:36:49
http://10.37.248.147/njta/202010/20201031/006_07w/013006_07wW2020103105364934DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV46091 - Image
10/31/2020 05:34:48
http://10.37.248.147/njta/202010/20201031/010_06w/013010_06wW2020103105344873DV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV40333 - Image
10/31/2020 05:26:15
http://10.37.248.147/njta/202010/20201031/18W_09w/01318W_09wW2020103105261528DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20461 - Image
10/31/2020 05:20:10
http://10.37.248.147/njta/202010/20201031/07A_13w/01307A_13wW2020103105201075DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV46091 - Image
10/31/2020 04:33:35
http://10.37.248.147/njta/202010/20201031/013_08w/013013_08wW2020103104333539DV_02.jpg
 08w - 13 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV45366 - Image
10/31/2020 04:29:59
http://10.37.248.147/njta/202010/20201031/18W_09w/01318W_09wW2020103104295917DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38524 - Image
10/31/2020 04:25:43
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103104254301DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV21027 - Image
10/31/2020 04:05:36
http://10.37.248.147/njta/202010/20201031/006_07w/013006_07wW2020103104053617DV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43267 - Image
10/31/2020 03:40:08

 14w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV40281 - Image
10/31/2020 03:32:12
http://10.37.248.147/njta/202010/20201031/07A_10w/01307A_10wW2020103103321252DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV39229 - Image
10/31/2020 03:18:34
http://10.37.248.147/njta/202010/20201031/001_15w/013001_15wW2020103103183414DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV38677 - Image
10/31/2020 03:15:41
http://10.37.248.147/njta/202010/20201031/013_08w/013013_08wW2020103103154151DV_02.jpg
 08w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV45095 - Image
10/31/2020 03:04:33
http://10.37.248.147/njta/202010/20201031/07A_13w/01307A_13wW2020103103043340DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44267 - Image
10/31/2020 03:27:25
http://10.37.248.147/njta/202010/20201031/18E_11w/01318E_11wW2020103103272517DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV14974 - Image
10/31/2020 02:56:23
http://10.37.248.147/njta/202010/20201031/07A_13w/01307A_13wW2020103102562354DV_02.jpg
 13w - 7A 
OPEN
$48.70
$50.00
$0.00
$98.70","
 HV45989 - Image
10/31/2020 01:55:28
http://10.37.248.147/njta/202010/20201031/013_04w/013013_04wW2020103101552877DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38411 - Image
10/31/2020 01:49:26
http://10.37.248.147/njta/202010/20201031/18W_08w/01318W_08wW2020103101492651DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36510 - Image
10/31/2020 01:53:23
http://10.37.248.147/njta/202010/20201031/006_07w/013006_07wW2020103101532373DV_02.jpg
 07w - 6  
OPEN
$34.20
$50.00
$0.00
$84.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20567 - Image
10/31/2020 02:44:46
http://10.37.248.147/njta/202010/20201031/07A_13w/01307A_13wW2020103102444656DV_02.jpg
 13w - 7A 
OPEN
$19.40
$50.00
$0.00
$69.40","
 HV44421 - Image
10/31/2020 02:38:20
http://10.37.248.147/njta/202010/20201031/07A_10w/01307A_10wW2020103102382047DV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44715 - Image
10/31/2020 02:25:41
http://10.37.248.147/njta/202010/20201031/012_10w/013012_10wW2020103102254179DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV43108 - Image
10/31/2020 02:08:19
http://10.37.248.147/njta/202010/20201031/18W_09w/01318W_09wW2020103102081977DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV20203 - Image
10/31/2020 01:51:39
http://10.37.248.147/njta/202010/20201031/012_17w/013012_17wW2020103101513948DV_02.jpg
 17w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20598 - Image
10/31/2020 01:32:54

 14w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV39323 - Image
10/31/2020 01:30:32
http://10.37.248.147/njta/202010/20201031/010_05w/013010_05wW2020103101303269DV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV44365 - Image
10/31/2020 01:29:54

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV19848 - Image
10/31/2020 01:28:13
http://10.37.248.147/njta/202010/20201031/14A_09w/01314A_09wW2020103101281355DV_02.jpg
 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 HV36820 - Image
10/31/2020 01:28:08
http://10.37.248.147/njta/202010/20201031/14A_09w/01314A_09wW2020103101280893DV_02.jpg
 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44299 - Image
10/31/2020 01:13:07
http://10.37.248.147/njta/202010/20201031/014_26w/013014_26wW2020103101130755DV_02.jpg
 26w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV20567 - Image
10/31/2020 00:55:36
http://10.37.248.147/njta/202010/20201031/16W_07w/01316W_07wW2020103100553671DV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV37358 - Image
10/31/2020 00:42:36
http://10.37.248.147/njta/202010/20201031/08A_09w/01308A_09wW2020103100423630DV_02.jpg
 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV44882 - Image
10/31/2020 00:36:10
http://10.37.248.147/njta/202010/20201031/18W_09w/01318W_09wW2020103100361027DV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV43304 - Image
10/31/2020 01:31:18
http://10.37.248.147/njta/202010/20201031/003_07w/013003_07wW2020103101311859DV_02.jpg
 07w - 3  
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39851 - Image
10/30/2020 23:47:48
http://10.37.248.147/njta/202010/20201030/15W_12w/01315W_12wW2020103023474831DV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV20634 - Image
10/30/2020 23:46:59
http://10.37.248.147/njta/202010/20201030/16E_02w/01316E_02wW2020103023465934DV_02.jpg
 02w - 16E
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV20634 - Image
10/30/2020 23:31:57
http://10.37.248.147/njta/202010/20201030/15E_11w/01315E_11wW2020103023315716DV_02.jpg
 11w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44534 - Image
10/30/2020 23:23:15
http://10.37.248.147/njta/202010/20201030/012_13w/013012_13wW2020103023231500DV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV40139 - Image
10/30/2020 23:21:23

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV15086 - Image
10/30/2020 23:41:55

 14w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV17626 - Image
10/30/2020 23:22:18
http://10.37.248.147/njta/202010/20201030/012_13w/013012_13wW2020103023221806DV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39056 - Image
10/30/2020 23:20:29
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103023202915DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV46196 - Image
10/30/2020 23:17:55
http://10.37.248.147/njta/202010/20201030/07A_13w/01307A_13wW2020103023175571DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV20800 - Image
10/30/2020 23:33:15
http://10.37.248.147/njta/202010/20201030/17S_01s/01317S_01sS2020103023331595DV_02.jpg
 01s - 17S
OPEN
$7.60
$50.00
$0.00
$57.60","
 HV43905 - Image
10/30/2020 22:20:33
http://10.37.248.147/njta/202010/20201030/008_05w/013008_05wW2020103022203303DV_02.jpg
 05w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV15143 - Image
10/30/2020 23:15:41

 05w - 6  
OPEN
$31.95
$50.00
$0.00
$81.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20362 - Image
10/30/2020 23:18:13
http://10.37.248.147/drba/202010/20201030/DMB_10_/016DMB_10_W2020103023181300DV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV20938 - Image
10/30/2020 18:42:09
http://10.37.248.147/drba/202010/20201030/DMB_10_/016DMB_10_W2020103018420900DV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV37388 - Image
10/30/2020 15:52:51
http://10.37.248.147/drba/202010/20201030/DMB_11_/016DMB_11_W2020103015525100DV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV39284 - Image
10/30/2020 08:11:27
http://10.37.248.147/drba/202010/20201030/DMB_04_/016DMB_04_W2020103008112700DV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV21027 - Image
10/30/2020 23:13:14
http://10.37.248.147/njta/202010/20201030/07A_13w/01307A_13wW2020103023131440DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV18805 - Image
10/30/2020 23:05:02

 04w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV19819 - Image
10/30/2020 22:50:13
http://10.37.248.147/njta/202010/20201030/013_09w/013013_09wW2020103022501387DV_02.jpg
 09w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV19618 - Image
10/30/2020 22:49:47

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV21060 - Image
10/30/2020 21:43:26

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV14974 - Image
10/30/2020 23:37:36
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103023373678DV_02.jpg
 09w - 18W
OPEN
$62.95
$50.00
$0.00
$112.95","
 HV28705 - Image
10/30/2020 22:28:12

 10w - 7A 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV14974 - Image
10/30/2020 22:04:06

 07w - 3  
OPEN
$3.75
$50.00
$0.00
$53.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV42882 - Image
10/30/2020 22:11:42
http://10.37.248.147/njta/202010/20201030/012_10w/013012_10wW2020103022114280DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV36369 - Image
10/30/2020 21:57:17
http://10.37.248.147/njta/202010/20201030/001_16w/013001_16wW2020103021571701DV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV39512 - Image
10/30/2020 21:28:46
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103021284623DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV40647 - Image
10/30/2020 21:28:18
http://10.37.248.147/njta/202010/20201030/07A_13w/01307A_13wW2020103021281896DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37663 - Image
10/30/2020 21:08:58
http://10.37.248.147/njta/202010/20201030/001_15w/013001_15wW2020103021085853DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36369 - Image
10/30/2020 22:02:57
http://10.37.248.147/drba/202010/20201030/DMB_09_/016DMB_09_W2020103022025700DV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV37663 - Image
10/30/2020 21:14:29
http://10.37.248.147/drba/202010/20201030/DMB_11_/016DMB_11_W2020103021142900DV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37607 - Image
10/30/2020 21:33:07
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103021330763DV_02.jpg
 09w - 18W
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV46164 - Image
10/30/2020 20:55:30
http://10.37.248.147/njta/202010/20201030/013_09w/013013_09wW2020103020553067DV_02.jpg
 09w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV39092 - Image
10/30/2020 20:52:55
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103020525564DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV36531 - Image
10/30/2020 20:36:15

 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV40655 - Image
10/30/2020 20:26:06

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36444 - Image
10/30/2020 21:00:55
http://10.37.248.147/njta/202010/20201030/18W_08w/01318W_08wW2020103021005532DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV39570 - Image
10/30/2020 20:55:53
http://10.37.248.147/njta/202010/20201030/18W_08w/01318W_08wW2020103020555350DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV44565 - Image
10/30/2020 20:51:22
http://10.37.248.147/njta/202010/20201030/001_16w/013001_16wW2020103020512283DV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV39933 - Image
10/30/2020 20:31:31
http://10.37.248.147/njta/202010/20201030/15W_12w/01315W_12wW2020103020313119DV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV43087 - Image
10/30/2020 20:30:32

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19484 - Image
10/30/2020 21:57:52
http://10.37.248.147/dr/202010/20201030/4___07W/0074___07WW2020103021575200DV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV15110 - Image
10/30/2020 20:52:05
http://10.37.248.147/dr/202010/20201030/1___10W/0071___10WW2020103020520500DV_02.jpg
 10W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19381 - Image
10/30/2020 21:54:08
http://10.37.248.147/njta/202010/20201030/012_10w/013012_10wW2020103021540859DV_02.jpg
 10w - 12 
OPEN
$22.70
$50.00
$0.00
$72.70","
 HV39564 - Image
10/30/2020 21:48:38
http://10.37.248.147/njta/202010/20201030/16W_07w/01316W_07wW2020103021483814DV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV39979 - Image
10/30/2020 20:32:02
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103020320266DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV42932 - Image
10/30/2020 19:04:08
http://10.37.248.147/njta/202010/20201030/012_09w/013012_09wW2020103019040878DV_02.jpg
 09w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV13329 - Image
10/30/2020 17:39:12
http://10.37.248.147/njta/202010/20201030/06A_01s/01306A_01sS2020103017391227DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38586 - Image
10/30/2020 21:40:05
http://10.37.248.147/drjt/202010/20201030/O78_11W/020O78_11WN2020103021400583DV_02.jpg
 11W - O78
OPEN
$16.00
$30.00
$0.00
$46.00","
 HV36723 - Image
10/30/2020 17:49:45
http://10.37.248.147/drjt/202010/20201030/MM__03W/020MM__03WN2020103017494567DV_02.jpg
 03W - M-M
OPEN
$16.00
$30.00
$0.00
$46.00","
 HV15034 - Image
10/30/2020 17:48:16
http://10.37.248.147/drjt/202010/20201030/NHL_03W/020NHL_03WN2020103017481627DV_02.jpg
 03W - NHL
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39933 - Image
10/30/2020 20:16:35
http://10.37.248.147/njta/202010/20201030/15E_12w/01315E_12wW2020103020163592DV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV45125 - Image
10/30/2020 20:03:51
http://10.37.248.147/njta/202010/20201030/012_10w/013012_10wW2020103020035148DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37332 - Image
10/30/2020 20:43:36
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103020433659DV_02.jpg
 09w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV37769 - Image
10/30/2020 19:22:35
http://10.37.248.147/njta/202010/20201030/013_09w/013013_09wW2020103019223544DV_02.jpg
 09w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV36501 - Image
10/30/2020 19:00:46
http://10.37.248.147/njta/202010/20201030/18E_11w/01318E_11wW2020103019004674DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36510 - Image
10/30/2020 20:10:55
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103020105582DV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV44267 - Image
10/30/2020 20:09:53
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103020095354DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV46106 - Image
10/30/2020 20:07:27
http://10.37.248.147/njta/202010/20201030/012_13w/013012_13wW2020103020072728DV_02.jpg
 13w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV19843 - Image
10/30/2020 21:07:01
http://10.37.248.147/njta/202010/20201030/06A_01s/01306A_01sS2020103021070195DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV19793 - Image
10/30/2020 21:01:51
http://10.37.248.147/njta/202010/20201030/18W_09w/01318W_09wW2020103021015138DV_02.jpg
 09w - 18W
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV01773 - Image
10/30/2020 18:48:50

 14w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV37301 - Image
10/30/2020 17:53:35
http://10.37.248.147/njta/202010/20201030/013_09w/013013_09wW2020103017533538DV_02.jpg
 09w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37885 - Image
10/30/2020 17:28:23

 06w - 10 
OPEN
$5.15
$50.00
$0.00
$55.15","
 HV20407 - Image
10/30/2020 17:21:52
http://10.37.248.147/njta/202010/20201030/07A_13w/01307A_13wW2020103017215275DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV19793 - Image
10/30/2020 17:01:32
http://10.37.248.147/njta/202010/20201030/014_21w/013014_21wW2020103017013269DV_02.jpg
 21w - 14 
OPEN
$3.75
$50.00
$0.00
$53.75"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20754 - Image
10/30/2020 19:48:29
http://10.37.248.147/drjt/202010/20201030/O78_11W/020O78_11WN2020103019482941DV_10.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV45030 - Image
10/30/2020 15:09:44
http://10.37.248.147/drjt/202010/20201030/O78_11W/020O78_11WN2020103015094476DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV45416 - Image
10/30/2020 13:32:00
http://10.37.248.147/drjt/202010/20201030/O78_11W/020O78_11WN2020103013320065DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV43620 - Image
10/30/2020 04:05:37
http://10.37.248.147/drjt/202010/20201030/O78_12W/020O78_12WN2020103004053775DV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV43005 - Image
10/30/2020 00:03:03
http://10.37.248.147/drjt/202010/20201030/ODW_21W/020ODW_21WN2020103000030361DV_02.jpg
